Player ID,First Name,Last Name,Position
16965,Dak,Lee,RB
20497,Kareem,Carter,QB
20717,Aaron,Munnerlyn,DT
20885,Ryan,Celek,DE
22085,Jermaine,Timu,DT
22597,Craig,Rotimi,RB
22844,Dylan,Edwards,CB
23123,Darwin,Ramos,QB
23437,Niuman,Hollins,OT
23459,Kyle,Oberholtzer,DE
23460,Rob,Engram,DT
23556,Bilal,Santiago,FS
23589,Patrick,Rodgers,C
23748,Jacob,Moreland,OLB
23764,Sean,Calhoun,OG
23868,David,Bolden,WR
23869,Yusei,Shields,WR
23934,Bobby,Cunningham,TE
24102,Alex,Bluiett,ILB
24263,Jake,Tucker,CB
74731,Charles,Turley,RB
74830,Luis,Barron,DE
75959,Timothy,Kingrey,WR
76068,Jose,Garcia,CB
76109,John,Decker,OLB
76310,Michael,Carlson,DT
76435,Gary,Hampton,RB
76683,Ronald,Morris,RB
76740,Michael,Stefanski,OT
76855,Raul,Rodriguez,P
77147,Ryan,Ames,ILB
77462,Lawrence,Welch,CB
77463,Carlos,Ponce,WR
77496,Anthony,Vazquez,SS
77602,Wai,Inthavong,WR
77919,Roy,Schroff,DT
78283,Jose,Orozco,DE
78351,Eric,Ramsey,OG
78525,Eduardo,Gonzalez,OT
78697,Carmelo,Laffin,TE
78708,Edward,Matlock,FS
78798,Stephen,Head,OLB
79781,William,Catrambone,OT
79821,Warren,Bryant,SS
79959,Matthew,Wright,DE
80267,Timothy,Booth,RB
80819,Jeffrey,Mccarthy,OT
80866,Rogelio,Istvan,C
80896,Mario,Mccrae,FS
82106,Andres,Nava,CB
82141,Andre,Valentine,P
82251,Douglas,Karren,DE
82339,Billy,Brierly,WR
83028,Paul,Overton,OLB
83216,Christopher,Glynn,WR
83301,Jimmy,Smothers,CB
83302,Paul,Blaylock,OLB
83384,Joseph,Hearn,CB
83445,Billy,Waite,ILB
84101,Gary,Ross,ILB
85000,Michael,Wink,FS
85002,Timothy,Goff,OT
85101,Gerald,West,K
85134,Octavio,Burke,CB
85151,Thomas,Evan,ILB
85163,Diego,Nunez,CB
85236,Richard,Dobrick,RB
85279,Winston,Odums,DE
85472,Benjamin,Meeks,SS
85662,Jonathan,Lowman,OLB
86057,Edgar,Martinez,WR
86191,Christian,Hernandez,OT
86679,Michael,Williams,OG
86743,Jesse,Zavesky,DT
89112,William,Crockett,WR
89255,Donald,Mcgill,FB
89306,Reinaldo,Garica,WR
89355,David,Anderson,DE
89611,Michael,Massa,TE
89664,Jayson,Bearden,TE
17225,Starlin,Gunter,DE
20896,Wilton,Peterson,DT
24266,DeMarcus,Zubac,QB
76390,George,Sayson,FS
77708,Carlos,Lopez,RB
78634,Michael,Mcilroy,QB
79032,John,Unseld,CB
81601,Donald,Connearney,WR
81756,Stanley,Johnson,WR
82199,Mark,Kildahl,QB
86824,Jorge,Alvarado,FB
87071,Eli,Stevens,RB
87595,David,Cipriani,K
87622,Rodolfo,Salas,OT
87673,Anthony,Steer,RB
87680,Ernesto,Lopez,P
87712,William,Vasquez,TE
87715,Christopher,Burk,ATH
87767,Charles,Hill,CB
87786,Shaun,Lauritzen,OT
87823,Robert,Peck,C
87842,Shawn,Jones,DT
87903,Marco,Moran,DE
87957,Gerald,Cline,ILB
87975,Luis,Romero,WR
88058,Daniel,Caples,ATH
88131,John,Portugal,ATH
88235,Marc,Webster,ATH
88736,Bonifacio,Medrano,ILB
89224,William,Grandis,DT
20268,Ryan,Glover,FB
20883,Cory,Strausborger,OG
21087,Nick,Randolph,DT
21350,Marcus,Ervin,QB
21399,Ross,Henry,OT
21408,Cameron,Hathaway,K
21737,Mychal,Navarro,CB
21801,Anthony,Lakins,RB
22425,Deon,Rosario,TE
22462,Joey,Williams,WR
22581,Danny,Prosise,CB
23183,Derek,Eickhoff,WR
23216,Byung-Hyun,Jackson,SS
74138,Richard,Graham,SS
74158,Rod,Balch,OT
74582,Scott,Shechter,WR
74936,Mark,Lynde,SS
75388,Michael,Hand,CB
75725,James,Heironimus,DT
